name,tdp
AMD Athlon II X3 460,95.0
AMD Athlon II X4 553,0.0
AMD Athlon II X4 555,0.0
AMD Athlon II X4 557,160.0
AMD Athlon II X4 559,0.0
AMD Athlon II X4 600e,45.0
AMD Athlon II X4 605e,45.0
AMD Athlon II X4 610e,45.0
AMD Athlon II X4 615e,45.0
AMD Athlon II X4 620,95.0
AMD Athlon II X4 630,95.0
AMD Athlon II X4 631 Quad-Core,100.0
AMD Athlon II X4 635,95.0
AMD Athlon II X4 638 Quad-Core,65.0
AMD Athlon II X4 640,95.0
AMD Athlon II X4 641 Quad-Core,100.0
AMD Athlon II X4 645,95.0
AMD Athlon II X4 650,95.0
AMD Athlon II X4 651 Quad-Core,100.0
AMD Athlon II X4 655,95.0
AMD Athlon L110,13.0
AMD Athlon LE-1600,45.0
AMD Athlon LE-1620,45.0
AMD Athlon LE-1640,45.0
AMD Athlon LE-1660,45.0
AMD Athlon Neo MV-40,15.0
AMD Athlon Neo X2 Dual Core 6850e,22.0
AMD Athlon Neo X2 Dual Core L325,18.0
AMD Athlon Neo X2 Dual Core L335,18.0
AMD Athlon PRO 200GE,35.0
AMD Athlon PRO 300GE,35.0
AMD Athlon Silver 3050e,6.0
AMD Athlon Silver 3050GE,35.0
AMD Athlon Silver 3050U,15.0
AMD Athlon Silver PRO 3125GE,35.0
AMD Athlon TF-20,15.0
AMD Athlon TF-36,25.0
AMD Athlon X2 215,65.0
AMD Athlon X2 240,65.0
AMD Athlon X2 240e,45.0
AMD Athlon X2 250,65.0
AMD Athlon X2 255,65.0
AMD Athlon X2 280,65.0
AMD Athlon X2 340 Dual Core,65.0
AMD Athlon X2 370K Dual Core,65.0
AMD Athlon X2 450,65.0
AMD Athlon X2 Dual Core 3250e,22.0
AMD Athlon X2 Dual Core 6850e,22.0
AMD Athlon X2 Dual Core BE-2300,45.0
AMD Athlon X2 Dual Core BE-2350,45.0
AMD Athlon X2 Dual Core BE-2400,18.0
AMD Athlon X2 Dual Core L310,13.0
AMD Athlon X3 425,95.0
AMD Athlon X3 435,95.0
AMD Athlon X3 440,95.0
AMD Athlon X3 445,95.0
AMD Athlon X3 455,95.0
AMD Athlon X4 530,25.0
AMD Athlon X4 620,95.0
AMD Athlon X4 640,95.0
AMD Athlon X4 730,65.0
AMD Athlon X4 740 Quad Core,65.0
AMD Athlon X4 750 Quad Core,65.0
AMD Athlon X4 750K Quad Core,100.0
AMD Athlon X4 760K Quad Core,100.0
AMD Athlon X4 830,65.0
AMD Athlon X4 840,65.0
AMD Athlon X4 845,65.0
AMD Athlon X4 860K,95.0
AMD Athlon X4 870K,95.0
AMD Athlon X4 880K,95.0
AMD Athlon X4 950,65.0
AMD Athlon XP 1500+,0.0
AMD Athlon XP 1600+,0.0
AMD Athlon XP 1700+,64.0
AMD Athlon XP 1800+,66.0
AMD Athlon XP 1900+,0.0
AMD Athlon XP 2000+,70.0
AMD Athlon XP 2100+,0.0
AMD Athlon XP 2200+,0.0
AMD Athlon XP 2400+,0.0
AMD Athlon XP 2500+,0.0
AMD Athlon XP 2600+,0.0
AMD Athlon XP 2700+,0.0
AMD Athlon XP 2800+,89.0
AMD Athlon XP 2900+,0.0
AMD Athlon XP 3000+,62.0
AMD Athlon XP 3100+,0.0
AMD Athlon XP 3200+,62.0
AMD Athlon XP1600+,0.0
AMD Athlon XP2400+,0.0
AMD Athlon64 X2 Dual Core 4600+,110.0
AMD C-30,9.0
AMD C-50,9.0
AMD C-60,9.0
AMD C-60 APU,9.0
AMD C-70 APU,9.0
AMD E-240,18.0
AMD E-300 APU,18.0
AMD E-350,18.0
AMD E-350 APU,18.0
AMD E-350D APU,18.0
AMD E-450 APU,18.0
AMD E1 Micro-6200T APU,3.95
AMD E1-1200 APU,18.0
AMD E1-1500 APU,18.0
AMD E1-2100 APU,9.0
AMD E1-2200 APU,9.0
AMD E1-2500 APU,15.0
AMD E1-6010 APU,10.0
AMD E1-6015 APU,0.0
AMD E1-6050J APU,10.0
AMD E1-7010 APU,10.0
AMD E2-1800 APU,18.0
AMD E2-2000 APU,18.0
AMD E2-3000 APU,15.0
AMD E2-3000M APU,35.0
AMD E2-3200 APU,65.0
AMD E2-3800 APU,15.0
AMD E2-6110 APU,15.0
AMD E2-7015,0.0
AMD E2-7015 APU,0.0
AMD E2-7110 APU,15.0
AMD E2-9000,10.0
AMD E2-9000e,6.0
AMD E2-9010,15.0
AMD E2-9030,0.0
AMD Embedded G-Series GX-215JJ Radeon R2E,10.0
AMD Embedded G-Series GX-224IJ Radeon R4E,15.0
AMD Embedded G-Series GX-420GI Radeon R7E,16.1
AMD Embedded R-Series RX-216GD,15.0
AMD Embedded R-Series RX-418GD Radeon R6,35.0
AMD Embedded R-Series RX-421BD,35.0
AMD Embedded R-Series RX-421ND,35.0
AMD EPYC 3101 4-Core,0.0
AMD EPYC 3201,30.0
AMD EPYC 3251,50.0
AMD EPYC 7232P,120.0
AMD EPYC 7251,120.0
AMD EPYC 7252,120.0
AMD EPYC 7262,155.0
AMD EPYC 7262,155.0
AMD EPYC 7272,120.0
AMD EPYC 7272,120.0
AMD EPYC 7281,155.0
AMD EPYC 7282,120.0
AMD EPYC 7282,120.0
AMD EPYC 72F3,180.0
AMD EPYC 72F3,180.0
AMD EPYC 7301,155.0
AMD EPYC 7301,155.0
AMD EPYC 7302,155.0
AMD EPYC 7302,155.0
AMD EPYC 7302P,155.0
AMD EPYC 7313,155.0
AMD EPYC 7313,155.0
AMD EPYC 7313P,155.0
AMD EPYC 7343,190.0
AMD EPYC 7343,190.0
AMD EPYC 7351,155.0
AMD EPYC 7351,155.0
AMD EPYC 7351P,155.0
AMD EPYC 7352,155.0
AMD EPYC 7352,155.0
AMD EPYC 7371,0.0
AMD EPYC 73F3,240.0
AMD EPYC 73F3,240.0
AMD EPYC 7401,155.0
AMD EPYC 7401P,155.0
AMD EPYC 7402,180.0
AMD EPYC 7402,180.0
AMD EPYC 7402P,180.0
AMD EPYC 7413,180.0
AMD EPYC 7413,180.0
AMD EPYC 7443,200.0
AMD EPYC 7443,200.0
AMD EPYC 7443P,200.0
AMD EPYC 7451,180.0
AMD EPYC 7451,180.0
AMD EPYC 7452,155.0
AMD EPYC 7452,155.0
AMD EPYC 7453,225.0
AMD EPYC 7453,225.0
AMD EPYC 7473X,240.0
AMD EPYC 74F3,240.0
AMD EPYC 74F3,240.0
AMD EPYC 7501,155.0
AMD EPYC 7502,180.0
AMD EPYC 7502,180.0
AMD EPYC 7502P,180.0
AMD EPYC 7513,200.0
AMD EPYC 7513,200.0
AMD EPYC 7532,200.0
AMD EPYC 7532,200.0
AMD EPYC 7542,225.0
AMD EPYC 7542,225.0
AMD EPYC 7543,240.0
AMD EPYC 7543,240.0
AMD EPYC 7543P,225.0
AMD EPYC 7551,180.0
AMD EPYC 7551,180.0
AMD EPYC 7551P,180.0
AMD EPYC 7552,200.0
AMD EPYC 7571,120.0
AMD EPYC 7573X,280.0
AMD EPYC 75F3,280.0
AMD EPYC 75F3,280.0
AMD EPYC 7601,180.0
AMD EPYC 7601,180.0
AMD EPYC 7642,225.0
AMD EPYC 7643,225.0
AMD EPYC 7643,225.0
AMD EPYC 7662,225.0
AMD EPYC 7662,225.0
AMD EPYC 7702,200.0
AMD EPYC 7702,200.0
AMD EPYC 7702P,200.0
AMD EPYC 7713,225.0
AMD EPYC 7713,225.0
AMD EPYC 7713P,225.0
AMD EPYC 7742,225.0
AMD EPYC 7742,225.0
AMD EPYC 7763,280.0
AMD EPYC 7763,280.0
AMD EPYC 7773X,280.0
AMD EPYC 7773X,280.0
AMD EPYC 7B12,240.0
AMD EPYC 7B13,0.0
AMD EPYC 7D12,85.0
AMD EPYC 7F32,180.0
AMD EPYC 7F32,180.0
AMD EPYC 7F52,240.0
AMD EPYC 7F52,240.0
AMD EPYC 7H12,280.0
AMD EPYC 7J13,0.0
AMD EPYC 7J13,0.0
AMD EPYC 7K62,0.0
AMD EPYC 7K83,0.0
AMD EPYC 7R32,0.0
AMD EPYC 7R32,0.0
AMD EPYC 7T83,280.0
AMD EPYC 7V13,240.0
AMD EPYC Embedded 7292P,0.0
AMD FirePro A320 APU,100.0
AMD FX-4100 Quad-Core,95.0
AMD FX-4130 Quad-Core,125.0
AMD FX-4150 Quad-Core,125.0
AMD FX-4170 Quad-Core,125.0
AMD FX-4200 Quad-Core,125.0
AMD FX-4300 Quad-Core,95.0
AMD FX-4320,95.0
AMD FX-4330,95.0
AMD FX-4350 Quad-Core,125.0
AMD FX-6100 Six-Core,95.0
AMD FX-6120 Six-Core,95.0
AMD FX-6130 Six-Core,125.0
AMD FX-6200 Six-Core,125.0
AMD FX-6300 Six-Core,95.0
AMD FX-6330 Six-Core,95.0
AMD FX-6350 Six-Core,125.0
AMD FX-670K Quad-Core,65.0
AMD FX-7500 APU,19.0
AMD FX-7600P,35.0
AMD FX-7600P APU,35.0
AMD FX-770K Quad-Core,65.0
AMD FX-8100 Eight-Core,95.0
AMD FX-8120 Eight-Core,125.0
AMD FX-8140 Eight-Core,95.0
AMD FX-8150 Eight-Core,125.0
AMD FX-8300 Eight-Core,95.0
AMD FX-8310 Eight-Core,95.0
AMD FX-8320 Eight-Core,125.0
AMD FX-8320E Eight-Core,95.0
AMD FX-8350 Eight-Core,125.0
AMD FX-8370 Eight-Core,125.0
AMD FX-8370E Eight-Core,95.0
AMD FX-870K Quad Core,0.0
AMD FX-8800P,35.0
AMD FX-9370 Eight-Core,220.0
AMD FX-9590 Eight-Core,220.0
AMD FX-9800P,15.0
AMD FX-9830P,35.0
AMD FX-B4150 Quad-Core,95.0
AMD G-T40E,6.4
AMD G-T40N,9.0
AMD G-T40R,5.5
AMD G-T44R,9.0
AMD G-T48E,18.0
AMD G-T52R,18.0
AMD G-T56E,18.0
AMD G-T56N,18.0
AMD Geode NX 2400+,0.0
AMD GX-210JA SOC,6.0
AMD GX-212JC SOC,6.0
AMD GX-217GA SOC,15.0
AMD GX-218GL SOC,15.0
AMD GX-222GC SOC,15.0
AMD GX-412HC,7.0
AMD GX-412TC SOC,6.0
AMD GX-415GA SOC,15.0
AMD GX-420CA SOC,25.0
AMD GX-420MC SOC,17.5
AMD GX-424CC SOC,25.0
AMD Opteron 1212,103.0
AMD Opteron 1212 HE,65.0
AMD Opteron 1214,103.0
AMD Opteron 1214 HE,65.0
AMD Opteron 1216,103.0
AMD Opteron 1216 HE,65.0
